part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS17537652,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17537652
PS12712096,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=cs8PU6Pj1UU,,install_PS12712096
PS11731356,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=72qF5AVYrN8,,install_PS11731356
PS11743313,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=zf2ciaBmLAM,,install_PS11743313
PS11740187,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=tliNnm4ChSg,,install_PS11740187
PS735091,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=_DIkHXz_0oU,,install_PS735091
PS12364147,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12364147
PS12751166,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=7yE0ZZBNISU,,install_PS12751166
PS734991,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=o1A-UZryOPM,,install_PS734991
PS427922,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=079K_vVSI7A,,install_PS427922
PS422444,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=jivKTK44sAo,,install_PS422444
PS2350702,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=Hf30sB2eQOw,,install_PS2350702
PS422925,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=OKcCClMK4Tw,,install_PS422925
PS8769007,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=visT8iOK984,,install_PS8769007
PS423801,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=kKYvssvclvA,,install_PS423801
PS11722132,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=yM8Pr0F3rpc,,install_PS11722132
PS11739027,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=bb3M5lVL9YA,,install_PS11739027
PS11739026,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=2ncgPH1bq7s,,install_PS11739026
PS11739347,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=Hv_tPVum9ts,,install_PS11739347
PS11738973,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=tXIKsbOEeps,,install_PS11738973
PS11738948,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=v8_pkrmEELg,,install_PS11738948
PS430917,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=tETYca_dopI,,install_PS430917
PS10065979,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=pZO1rcMwKBc,,install_PS10065979
PS11746591,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=siE-8HethWg,,install_PS11746591
PS8260087,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=Co8dQ7rzTMQ,,install_PS8260087
PS11755592,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=5d9hVhnsv30,,install_PS11755592
PS11745496,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=X7SLvFAiTkw,,install_PS11745496
PS11750093,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=3no3S5XCunU,,install_PS11750093
PS11755664,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11755664
PS11731570,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11731570
PS11745488,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=90QAaPkiTJs,,install_PS11745488
PS11759673,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=rb6amLby04k,,install_PS11759673
PS3406971,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=fz1YHu782Wk,,install_PS3406971
PS12348515,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=CQ6N_1G2zzE,,install_PS12348515
PS11748729,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=u34A8cuwJZs,,install_PS11748729
PS16744934,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16744934
PS972325,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=X02l3pHeOUI,,install_PS972325
PS9494999,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=syH-h3f0ktc,,install_PS9494999
PS8727387,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8727387
PS16746057,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16746057
PS18375870,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18375870
PS8729301,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8729301
PS18010470,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18010470
PS11724988,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=QGMeULUYYJ4,,install_PS11724988
PS11704799,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11704799
PS8727471,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8727471
PS8737036,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8737036
PS8730270,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8730270
PS11751238,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=XLZQFsAMbp0,,install_PS11751238
PS11740613,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=zwwPTlB9_W0,,install_PS11740613
PS11728058,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11728058
PS11746842,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11746842
